id,station,date,prcp,tobs
1,USC00519397,1/1/10,0.08,65
2,USC00519397,1/2/10,0,63
3,USC00519397,1/3/10,0,74
4,USC00519397,1/4/10,0,76
5,USC00519397,1/6/10,,73
6,USC00519397,1/7/10,0.06,70
7,USC00519397,1/8/10,0,64
8,USC00519397,1/9/10,0,68
9,USC00519397,1/10/10,0,73
10,USC00519397,1/11/10,0.01,64
11,USC00519397,1/12/10,0,61
12,USC00519397,1/14/10,0,66
13,USC00519397,1/15/10,0,65
14,USC00519397,1/16/10,0,68
15,USC00519397,1/17/10,0,64
16,USC00519397,1/18/10,0,72
17,USC00519397,1/19/10,0,66
18,USC00519397,1/20/10,0,66
19,USC00519397,1/21/10,0,69
20,USC00519397,1/22/10,0,67
21,USC00519397,1/23/10,0,67
22,USC00519397,1/24/10,0.01,71
23,USC00519397,1/25/10,0,67
24,USC00519397,1/26/10,0.04,76
25,USC00519397,1/27/10,0.12,68
26,USC00519397,1/28/10,0,72
27,USC00519397,1/30/10,,70
28,USC00519397,1/31/10,0.03,67
29,USC00519397,2/1/10,0.01,66
30,USC00519397,2/3/10,,67
31,USC00519397,2/4/10,0.01,69
32,USC00519397,2/5/10,0,67
33,USC00519397,2/6/10,0,67
34,USC00519397,2/7/10,0,64
35,USC00519397,2/8/10,0,69
36,USC00519397,2/9/10,0,73
37,USC00519397,2/11/10,0,73
38,USC00519397,2/12/10,0.02,69
39,USC00519397,2/13/10,0.01,69
40,USC00519397,2/14/10,0,69
41,USC00519397,2/15/10,0,71
42,USC00519397,2/16/10,0,61
43,USC00519397,2/17/10,0,69
44,USC00519397,2/19/10,,63
45,USC00519397,2/20/10,0.03,64
46,USC00519397,2/21/10,0,65
47,USC00519397,2/22/10,0,67
48,USC00519397,2/23/10,0,68
49,USC00519397,2/24/10,0,65
50,USC00519397,2/25/10,0,76
51,USC00519397,2/26/10,0,75
52,USC00519397,2/28/10,0,66
53,USC00519397,3/1/10,0.01,70
54,USC00519397,3/2/10,0,72
55,USC00519397,3/3/10,0,73
56,USC00519397,3/4/10,0.12,70
57,USC00519397,3/5/10,0.08,71
58,USC00519397,3/6/10,0.03,72
59,USC00519397,3/7/10,0,72
60,USC00519397,3/8/10,0.43,69
61,USC00519397,3/9/10,0.06,70
62,USC00519397,3/11/10,,73
63,USC00519397,3/12/10,0,72
64,USC00519397,3/13/10,0,73
65,USC00519397,3/14/10,0,70
66,USC00519397,3/15/10,0.06,71
67,USC00519397,3/17/10,0,68
68,USC00519397,3/18/10,0,70
69,USC00519397,3/21/10,0,72
70,USC00519397,3/22/10,0,69
71,USC00519397,3/23/10,0,68
72,USC00519397,3/24/10,0,74
73,USC00519397,3/26/10,,72
74,USC00519397,3/27/10,0,72
75,USC00519397,3/28/10,0,73
76,USC00519397,3/29/10,0,74
77,USC00519397,3/30/10,0,73
78,USC00519397,3/31/10,0,73
79,USC00519397,4/1/10,0,74
80,USC00519397,4/2/10,0.01,74
81,USC00519397,4/3/10,0.17,74
82,USC00519397,4/4/10,0.15,71
83,USC00519397,4/5/10,0.27,72
84,USC00519397,4/6/10,0.01,75
85,USC00519397,4/8/10,0,75
86,USC00519397,4/9/10,0.01,75
87,USC00519397,4/10/10,0,75
88,USC00519397,4/11/10,0.01,73
89,USC00519397,4/12/10,0.01,73
90,USC00519397,4/13/10,0,71
91,USC00519397,4/15/10,0,71
92,USC00519397,4/16/10,0.01,68
93,USC00519397,4/17/10,0,70
94,USC00519397,4/18/10,0,71
95,USC00519397,4/19/10,0,74
96,USC00519397,4/20/10,0.04,71
97,USC00519397,4/21/10,0.01,75
98,USC00519397,4/22/10,0,76
99,USC00519397,4/23/10,0.02,75
100,USC00519397,4/24/10,0,75
101,USC00519397,4/25/10,0,76
102,USC00519397,4/26/10,0,76
103,USC00519397,4/28/10,0,76
104,USC00519397,4/30/10,0,77
105,USC00519397,5/1/10,0,77
106,USC00519397,5/2/10,0.03,73
107,USC00519397,5/3/10,0.2,74
108,USC00519397,5/4/10,0.08,76
109,USC00519397,5/5/10,0.01,76
110,USC00519397,5/6/10,0,80
111,USC00519397,5/7/10,0.05,74
112,USC00519397,5/8/10,0,77
113,USC00519397,5/9/10,0,77
114,USC00519397,5/10/10,0,76
115,USC00519397,5/11/10,0,77
116,USC00519397,5/13/10,0,78
117,USC00519397,5/14/10,0,78
118,USC00519397,5/15/10,0,75
119,USC00519397,5/16/10,0.03,73
120,USC00519397,5/17/10,0,77
121,USC00519397,5/18/10,0,76
122,USC00519397,5/19/10,0,77
123,USC00519397,5/21/10,,77
124,USC00519397,5/22/10,0,78
125,USC00519397,5/23/10,0.05,75
126,USC00519397,5/24/10,0,77
127,USC00519397,5/25/10,0,77
128,USC00519397,5/26/10,0.02,77
129,USC00519397,5/27/10,0,76
130,USC00519397,5/28/10,0,75
131,USC00519397,5/29/10,0,77
132,USC00519397,5/30/10,0,77
133,USC00519397,5/31/10,0,77
134,USC00519397,6/1/10,0,78
135,USC00519397,6/2/10,0.01,76
136,USC00519397,6/3/10,0,78
137,USC00519397,6/4/10,0,76
138,USC00519397,6/5/10,0,77
139,USC00519397,6/6/10,0,78
140,USC00519397,6/7/10,0,77
141,USC00519397,6/8/10,0,78
142,USC00519397,6/9/10,0,78
143,USC00519397,6/10/10,0,79
144,USC00519397,6/11/10,0,78
145,USC00519397,6/12/10,0,78
146,USC00519397,6/13/10,0,78
147,USC00519397,6/14/10,0,77
148,USC00519397,6/15/10,0,78
149,USC00519397,6/16/10,0,78
150,USC00519397,6/17/10,0,77
151,USC00519397,6/18/10,0,77
152,USC00519397,6/19/10,0,82
153,USC00519397,6/20/10,0,78
154,USC00519397,6/21/10,0,78
155,USC00519397,6/22/10,0,78
156,USC00519397,6/23/10,0,78
157,USC00519397,6/24/10,0,78
158,USC00519397,6/25/10,0,77
159,USC00519397,6/26/10,0.02,76
160,USC00519397,6/27/10,0,78
161,USC00519397,6/28/10,0,78
162,USC00519397,6/29/10,0,78
163,USC00519397,6/30/10,0,78
164,USC00519397,7/1/10,0.01,75
165,USC00519397,7/2/10,0.05,77
166,USC00519397,7/3/10,0.09,77
167,USC00519397,7/4/10,0.05,78
168,USC00519397,7/5/10,0.06,78
169,USC00519397,7/6/10,0.08,76
170,USC00519397,7/7/10,0.08,74
171,USC00519397,7/8/10,0.03,76
172,USC00519397,7/9/10,0.06,74
173,USC00519397,7/10/10,0.09,76
174,USC00519397,7/11/10,0,78
175,USC00519397,7/12/10,0,77
176,USC00519397,7/13/10,0,80
177,USC00519397,7/16/10,,78
178,USC00519397,7/17/10,0.02,76
179,USC00519397,7/18/10,0,77
180,USC00519397,7/19/10,0.04,77
181,USC00519397,7/21/10,0,80
182,USC00519397,7/22/10,0,78
183,USC00519397,7/24/10,0,80
184,USC00519397,7/25/10,0,79
185,USC00519397,7/26/10,0,78
186,USC00519397,7/27/10,0,79
187,USC00519397,7/28/10,0,78
188,USC00519397,7/29/10,0,79
189,USC00519397,7/30/10,0,78
190,USC00519397,7/31/10,0.02,77
191,USC00519397,8/1/10,0.04,77
192,USC00519397,8/2/10,0.01,76
193,USC00519397,8/3/10,0.02,77
194,USC00519397,8/4/10,0.07,77
195,USC00519397,8/5/10,0.08,75
196,USC00519397,8/6/10,0.03,75
197,USC00519397,8/7/10,0,80
198,USC00519397,8/8/10,0,77
199,USC00519397,8/9/10,0,78
200,USC00519397,8/10/10,0,78
201,USC00519397,8/11/10,0,77
202,USC00519397,8/12/10,0,76
203,USC00519397,8/13/10,0,78
204,USC00519397,8/14/10,0,78
205,USC00519397,8/15/10,0.01,76
206,USC00519397,8/16/10,0,76
207,USC00519397,8/17/10,0.05,74
208,USC00519397,8/18/10,0,77
209,USC00519397,8/19/10,0,79
210,USC00519397,8/20/10,0,79
211,USC00519397,8/21/10,0,79
212,USC00519397,8/22/10,0,75
213,USC00519397,8/23/10,0.01,87
214,USC00519397,8/24/10,0,78
215,USC00519397,8/25/10,0.04,76
216,USC00519397,8/26/10,0.03,78
217,USC00519397,8/27/10,0,78
218,USC00519397,8/28/10,0.04,79
219,USC00519397,8/29/10,0,78
220,USC00519397,8/30/10,0,78
221,USC00519397,8/31/10,0,80
222,USC00519397,9/1/10,0,77
223,USC00519397,9/2/10,0.02,76
224,USC00519397,9/3/10,0.04,78
225,USC00519397,9/4/10,0.01,77
226,USC00519397,9/5/10,0,77
227,USC00519397,9/6/10,0,77
228,USC00519397,9/7/10,0.06,76
229,USC00519397,9/8/10,0,78
230,USC00519397,9/9/10,0,78
231,USC00519397,9/10/10,0,78
232,USC00519397,9/11/10,0.05,78
233,USC00519397,9/12/10,0,74
234,USC00519397,9/13/10,0,78
235,USC00519397,9/14/10,0,79
236,USC00519397,9/15/10,0,77
237,USC00519397,9/16/10,0,79
238,USC00519397,9/17/10,0,78
239,USC00519397,9/19/10,0,78
240,USC00519397,9/20/10,0,78
241,USC00519397,9/21/10,0,79
242,USC00519397,9/22/10,0.04,76
243,USC00519397,9/23/10,0,78
244,USC00519397,9/24/10,0,78
245,USC00519397,9/25/10,0,79
246,USC00519397,9/26/10,0,74
247,USC00519397,9/27/10,0,75
248,USC00519397,9/28/10,0,75
249,USC00519397,9/29/10,0,78
250,USC00519397,9/30/10,0.57,73
251,USC00519397,10/1/10,0.31,78
252,USC00519397,10/2/10,0.03,78
253,USC00519397,10/3/10,0,78
254,USC00519397,10/4/10,0.06,78
255,USC00519397,10/5/10,0,80
256,USC00519397,10/6/10,0,79
257,USC00519397,10/7/10,0,79
258,USC00519397,10/8/10,0,78
259,USC00519397,10/9/10,0,78
260,USC00519397,10/10/10,0,78
261,USC00519397,10/11/10,0,77
262,USC00519397,10/12/10,0,79
263,USC00519397,10/13/10,0,78
264,USC00519397,10/15/10,0,78
265,USC00519397,10/16/10,0,77
266,USC00519397,10/17/10,0,76
267,USC00519397,10/18/10,0,76
268,USC00519397,10/19/10,0.07,72
269,USC00519397,10/20/10,0,74
270,USC00519397,10/21/10,0,80
271,USC00519397,10/22/10,0,77
272,USC00519397,10/23/10,0,75
273,USC00519397,10/24/10,0,78
274,USC00519397,10/25/10,0,78
275,USC00519397,10/26/10,0.07,76
276,USC00519397,10/27/10,0.05,79
277,USC00519397,10/28/10,0.06,78
278,USC00519397,10/29/10,0.03,78
279,USC00519397,10/30/10,0.02,77
280,USC00519397,10/31/10,0,76
281,USC00519397,11/1/10,0.01,75
282,USC00519397,11/2/10,0.01,73
283,USC00519397,11/4/10,,73
284,USC00519397,11/5/10,0,77
285,USC00519397,11/6/10,0,76
286,USC00519397,11/7/10,0,77
287,USC00519397,11/8/10,0,76
288,USC00519397,11/9/10,0,73
289,USC00519397,11/10/10,0.23,73
290,USC00519397,11/11/10,0,77
291,USC00519397,11/12/10,0,77
292,USC00519397,11/13/10,0,76
293,USC00519397,11/16/10,0,73
294,USC00519397,11/17/10,0,73
295,USC00519397,11/19/10,,72
296,USC00519397,11/20/10,0.03,69
297,USC00519397,11/21/10,0,69
298,USC00519397,11/22/10,0,68
299,USC00519397,11/23/10,0,69
300,USC00519397,11/24/10,0,76
301,USC00519397,11/25/10,0,76
302,USC00519397,11/27/10,0,75
303,USC00519397,11/28/10,0,74
304,USC00519397,11/29/10,0,69
305,USC00519397,11/30/10,0,74
306,USC00519397,12/1/10,0.04,76
307,USC00519397,12/3/10,0,74
308,USC00519397,12/4/10,0,74
309,USC00519397,12/6/10,0,64
310,USC00519397,12/7/10,0,64
311,USC00519397,12/8/10,0,67
312,USC00519397,12/9/10,0,77
313,USC00519397,12/10/10,1.58,66
314,USC00519397,12/11/10,0.77,69
315,USC00519397,12/12/10,0,68
316,USC00519397,12/13/10,0,68
317,USC00519397,12/14/10,0,71
318,USC00519397,12/15/10,0,74
319,USC00519397,12/16/10,0,67
320,USC00519397,12/17/10,0,66
321,USC00519397,12/18/10,0,69
322,USC00519397,12/19/10,1.4,71
323,USC00519397,12/23/10,0,70
324,USC00519397,12/24/10,0,70
325,USC00519397,12/26/10,,74
326,USC00519397,12/27/10,0.13,74
327,USC00519397,12/28/10,0.55,71
328,USC00519397,12/29/10,0.06,75
329,USC00519397,12/30/10,0.01,75
330,USC00519397,12/31/10,0,72
331,USC00519397,1/1/11,0,69
332,USC00519397,1/2/11,0,72
333,USC00519397,1/3/11,0,74
334,USC00519397,1/4/11,0,73
335,USC00519397,1/5/11,0,64
336,USC00519397,1/6/11,0.01,65
337,USC00519397,1/7/11,0,68
